P   S
1   1.01042873696407879490
2   2.00459770114942528735
3   2.90666666666666666666
4   3.77489177489177489177
5   4.23300970873786407766
6   4.95454545454545454545
7   5.69934640522875816993
8   6.18439716312056737588
9   6.05555555555555555555
10   4.95454545454545454545
11   5.45000000000000000000
12   6.45925925925925925925
