P   T
1   4.31500000000000000000
2   2.17500000000000000000
3   1.50000000000000000000
4   1.15500000000000000000
5   1.03000000000000000000
6   .88000000000000000000
7   .76500000000000000000
8   .70500000000000000000
9   .72000000000000000000
10   .88000000000000000000
11   .80000000000000000000
12   .67500000000000000000
