P	T
1   6.33000000000000000000
2   4.80000000000000000000
3   3.69500000000000000000
4   2.93500000000000000000
5   2.44500000000000000000
6   2.22500000000000000000
7   2.00000000000000000000
8   1.78500000000000000000
9   1.75000000000000000000
10   1.61000000000000000000
11   1.59500000000000000000
12   1.56000000000000000000
