P   S
1   .99605055292259083728
2   1.31354166666666666666
3   1.70635994587280108254
4   2.14821124361158432708
5   2.57873210633946830265
6   2.83370786516853932584
7   3.15250000000000000000
8   3.53221288515406162464
9   3.60285714285714285714
10   3.91614906832298136645
11   3.95297805642633228840
12   4.04166666666666666666
