Threads;Time;
1;7.868422;
2;3.937235;
3;2.646674;
4;1.981391;
5;1.660104;
6;1.387162;
7;1.189097;
8;1.045569;
9;0.973754;
10;0.877207;
11;0.800126;
12;0.901865;
