Threads;Speedup;
1;1.00022444144454885617;
2;1.99891243474163975480;
3;2.97361443079124969678;
4;3.97205195743798170073;
5;4.74078009570484740715;
6;5.67358967445763364336;
7;6.61862573028104519648;
8;7.52718185026526226389;
9;8.08231647828917775947;
10;8.97187094950222695441;
11;9.83618580073638401951;
12;8.72656994117744895300;
