P	S
1	1.00022058578658488226
2	1.97169330870302761231
3	2.62079169577191619667
4	3.78625502305536927579
5	4.12213488257254453626
6	4.57066083255347305187
7	5.60437967578049104231
8	5.85644545580640816630
9	6.59913109167367916760
10	7.20501720048769750883
11	7.35985019294290026967
12	8.05838950678922022852
