P	S
1	0.99861767704996181054
2	1.98099411776898608903
3	2.61596376554397228390
4	3.70037924588780034211
5	4.21072744633243339674
6	4.74056206024246278044
7	5.43661694697135716583
8	6.06666860913424566873
9	7.18839116174693595718
10	7.11975873127529499119
11	7.34231339843681125616
12	7.99374889450453921578
