P	T
1	5.84432500000000000000
2	2.94805200000000000000
3	2.23433400000000000000
4	1.50138600000000000000
5	1.41107100000000000000
6	1.24168400000000000000
7	1.03485100000000000000
8	1.00676700000000000000
9	0.86960200000000000000
10	0.79162900000000000000
11	0.74830900000000000000
12	0.81115700000000000000
