P	S
1	0.99806068279912564752
2	1.97859162592790086470
3	2.61061730251609651914
4	3.88507086119092625081
5	4.13373317147046463289
6	4.69764529461602146761
7	5.63655154220269391438
8	5.79378446055542146296
9	6.70765591615474665421
10	7.36833920940238419764
11	7.79489622602427606777
12	7.19095193655482230936
