P	S
1	0.99646372784375860883
2	1.67554450090054838505
3	1.87931675443187971594
4	2.15950320794499436727
5	2.65958570069594866448
6	2.71448474588279602570
7	2.61158265247961699091
8	2.61217539130220259574
9	2.46832506690424703158
10	2.36913601893478799456
11	2.58887981023136054796
12	2.44457499252811611139
