P	T
1	5.84429000000000000000
2	3.47566000000000000000
3	3.09879800000000000000
4	2.69674200000000000000
5	2.18967300000000000000
6	2.14538800000000000000
7	2.22992100000000000000
8	2.22941500000000000000
9	2.35934200000000000000
10	2.45812100000000000000
11	2.24947600000000000000
12	2.38226400000000000000
